Telugu Number,English Title,Tamil Number,Tamil Title,Hindi Number,Hindi Title
80,,152,எந்தன் பிரிய இயேசுவே என் சொந்த ராஜாவே,125,मसीह तू मेरा प्यारा है ... तू मेरे दिल का नूर ;
81,,0,,88,"पवित्र, पवित्र, पवित्र, प्रभु है,"
82,,0,,0,
83,,101,சுந்தர இரட்சகனே—எங்கள்,86,सुनदर रक्षक मेरे ! प्रभु . . . अपने लोहू से मुझ को तू धे ले ;
84,,102,தொழுகிறோம் எங்கள் பிதாவே,96,"भजने आए हैं पिताजी . . . आत्मा सच्चाई से तुझ को, (2)"
85,,153,கிறிஸ்து இயேசு தயாள பிரபு,113,"ख्रीष्ट यीशु, दयालु प्रभु ... तू ही है सृजनहार,"
86,,103,இயேசு என்ற திரு நாமத்திற்கு,151,"प्रभु यीशु तेरे पावन नाम की,"
87,,707,மீட்பர் மரித்த குருசண்டை,0,
88,,0,,112,"अम सब स्तुति करेंगे ... आशीषें देता याह ही,"
89,,104,கர்த்தர் எந்தன் பெலனும் கீதமுமானவர்,174,"गीतें गएँ सामर्थ के ... तेरी स्तुति करें,"
90,,0,,282,"आनन्दित, अनादित हूँ मैं, मेरे प्रिय पुत्र मैं प्रसन्न मैं ... आहा"
91,,105,பணிந்து பாடிப் போற்றுவோம்,101,"आओ करें साष्टांग प्रणाम,"
92,,0,,79,"यहोवा परमेश्वर महिमा तुम्हारी हो,"
93,,0,,123,"प्रभुजी के चरणों में, आस लगाओ,"
94,,0,,124,"प्यारा मसीह, प्यारा मसीह, लाखों में प्यारा मेरा मसीह ;"
95,,196,இதோ உன் ராஜா வருகிறார்,646,"देख तेरा राजा आता है,"
96,,106,சரணம் சரணம் சரணம் தேவா கருணை நாயகா,109,"शरण, शरण, शरण प्रभु करुणामय तू है ;"
97,,0,,242,"साष्टांग प्रणाम करके भजें हम,"
98,,0,,221,"यीशु तू ने किया निहाल, 2"
99,,107,"பரிசுத்தர், பரிசுத்தர், பரிசுத்தரே",95,परम पवित्र स्वर्गीय पिता ; (2)
100,,130,இயேசுவே உந்தன் திருநாமத்தை,147,"गाओ, मधुर मधुर यीशु नाम  2"
101,,108,உன்னத மானவரான தேவனுக்கே மகிமை,0,
102,,109,தேவனைத் தியானஞ்செய்,165,"मेरो मन लागो, 2"
103,,154,மகிழுவேன் மகிழுவேன்,486,"आनन्द करूँ, आनन्द करूँ"
104,,110,என் ஆத்ம நேசா இயேசு ராஜா,119,"हृदय का राजा जय यीशु नाम,"
105,,155,தேவாதி தேவனைத் துதித்திடுவோம்,94,परम पिता की हम स्तुति गाएँ ...
106,,111,மதுரமுள்ள நாமம் —இயேசுவின்,148,"मधुर, मधुर, यीशु नाम प्यारा,"
107,,0,,91,"पवित्र प्रभु यीशु प्रणाम हो तुझे,"
108,,112,"ஜேய், ஜேய், ஜேய், ஜேய் ராஜாதி ராஜா",118,"जय, जय, जय, जय राजाधिराजा,"
109,,113,கர்த்தரைக்கீர்த்தனம் பண்ணும் அவர்,97,"यहोवा का भजन गाओ, गाओ,"
110,,114,"தேவா தேவா திரிலோக நாதா,",423,"यीशु, यीशु मन में आ जा (2), इस दुनिया का तू मुक्तिदाता (2)"
111,,115,வல்ல கிறிஸ்து இயேசு எல்லாமானவர்,108,"सर्वशक्तिमान मेरा ... सब कुछ वही है,"
112,,116,தேவனே உமது மகிமையைப் பாடி,159,प्रभु तेरी स्तुति करूँ ... तेरी महिमा गाऊँ  (2)
113,,156,"ஓ இயேசு உமதன்பு எத்தனை பெரியது,",134,"हे यीशु तेरा प्रेम, कैसा महान है,"
114,,157,ஓ அன்புள்ள இயேசுவே நேசித்தீரே எங்களை,135,"ए प्रेमी यीशु तू ने, जो प्यार हम से किया,"
115,,158,அல்லேலூயா பாடுவோம் அல்லேலூயா பாடுவோம் 2,171,"हल्लेलूयाह गायेंगे, हल्लेलूयाह गायेंगे, 2"
116,,0,,127,"तू ने कहा, अद्धैत ईश्वर,"
117,,159,வந்தனமே வந்தனம் ஏசையா,139,"वन्दन है, वन्दन है यीशु,"
118,,160,சாற்றுவேன் துதி சிலுவையில் நீர்,142,चढ़ाता हूँ मैं धन्यवाद प्रभु ... क्रूस के उस प्रेम के लिए ;
119,,161,சந்தோஷம் சந்தோஷமே,223,"आनन्द है, आनन्द है, आनन्द से मैं स्तुति करूँ,"
120,,0,,150,"गाऊँगा मैं सुबह शाम,"
121,,0,,0,
122,,162,இருதயத்துடன் துதிப்போமே—நாமே,162,"हृदय भेंट चढ़ाए प्रभु को ... स्तुति प्रशंसा करें,"
123,,163,ஆனந்த மானந்தம் ஆனந்தமே,224,"आनन्द, आनन्द, आनन्द है, आनन्द आनन्द है"
124,,164,ஜேய் பிரபு இயேசு ஜேய் மாதேவா,274,"जय प्रभु यीशु जय मुक्तिदाता,"
125,,117,கர்த்தாவே உம் மகத்துவம் (2),82,"हे प्रभु तू महान है,"
126,,118,வந்தனம் செய்யுங்கள் பிரபு இயேசுவுக்கு 2,140,"वन्दना करो, प्रभु यीशु की (2), जय जयकार करो  (2)"
127,,165,ஓ என் ஆத்துமாவே புதியகீதம்,164,"ओह ! मेरा मन गा रहा है ... गीत नया प्रभु का,"
128,,166,தேவா உம் ஆலோசனைகள்,196,"हे ईश्वर तेरे यह विचार, मेरे लिए क्या ही अनमोल है,"
129,,167,துதிக்கப்படத் தக்கவரே,133,"हे प्रभु तू धन्य है,"
130,,168,கிறிஸ்து இயேசுவானவர்,1114,
131,,0,,143,हल्लेलूयाह ! स्तुति प्रशंसा गाऊँगा
132,,0,,0,
133,,169,சகல கிருபை உள்ளவரே,169,"सभी अनुग्रह का प्रभु ... सब प्राणियों का आनन्द है,"
134,,170,மகா கனமுள்ள உன்னதரும்—,81,"महान ईश्वर, अति उत्तम, पवित्र जो, सदा स्थिर है,"
135,,232,எந்தன் உள்ளம் புதுகவியாலே பொங்க,166,"नये गीत से मेरा हृदय उमडता, यीशु का भजन करूँ,"
136,,119,"கொண்டாடி, பாடி கீதங்களால்",102,"अपने प्रभु की बड़ाई करके,"
137,,171,கர்த்தாவே உம்மை என்றும் நேசிக்கிறேன்,167,यीशुजी करूँ तुझ से ऐसा अब प्रेम
138,,0,,0,
139,,121,எத்தனை நாவால் பாடுவேன்,191,"जो लाखों जीभें मेरी हों ... तो सब नहीं होगी,"
140,,122,எல்லாருக்கும் மா உன்னத,188,"यीशु के नाम को सब भजें, दूत भी प्रणाम करें ;"
141,,172,போற்றுவேன் என் மீட்பர் அன்பை!,190,"यीशु नाथ के प्रेम अपार का ... करूँगा मैं स्तुतिगान,"
142,,0,,0,
143,,0,,0,
144,,0,,0,
145,,0,,0,
146,,0,,0,
147,,0,,0,
148,,0,,0,
149,,0,,0,
150,,0,,0,
151,,0,,0,
152,,133,அவர் நிழலில் வாஞ்சையுடன் அமர்ந்து,225,"तेरे सेब वृक्ष की छाया में मैं, अब आनन्द से परिपूर्ण हो गया,"
153,,708,இயேசுவை ஏற்றுக் கொண்டேன்—தேவ புத்திரனுமானேன் 2,372,"यीशु को ग्रहण किया, मैं, ईश्वर का पुत्र हुआ,"
154,,31,என் தேவனாகிய கர்த்தாவே 2,217,प्रभुजी तेरे बारे में अब ... मेरा हृदय उमण्ड रहा है
155,,321,இயேசு இரட்சகரே எனக்காக நீர் யாவுமிழந்தீர்,257,"यीशु प्रभु तू ने सब कुछ मेरे लिए दिया,"
156,,187,உன்னதத்தின் பரிசுத்தரே—உம் இரட்சிப்புக்காய் ஸ்தோத்திரங்கள்,90,"पवित्र प्रभुजी मेरे, स्तुति हो उद्धार के लिए"
157,,188,இயேசு என்னை நேசித்தார்—பாசத்தோடு இரட்சித்தார்,213,"यीशु तू ने किया प्यार, कोई न था तारणहार,"
158,,0,,146,"यीशु जी तेरे महान नाम की बड़ाई,"
159,,246,அன்பும் உண்மையும் உள்ள பரலோக பிதா,138,"प्रेमी विश्वास योग्य परमेश्वर पिता, दिया अपने पुत्र को,"
160,,248,ஆண்டவரே இதுஉம் கிருபையே,105,हे प्रभु तेरा अनुग्रह है ... बड़े धन से यह हुआ है
161,,247,அன்புள்ள ஆண்டவரே,137,"प्रेमी ईश्वर प्रेम तू है, प्रेम तेरा सच्चा है"
162,,148,ஆராதனை செய்து உம் புகழ்பாடி,200,"आराधना करूँ मैं दिल से भजूँगा, ... सनातन तक तेरी स्तुति करूँगा"
163,,268,ருசிபார்த்து அறிந்து கொண்டேன்,218,"चखकर मैं ने जाना है, यहोवा कैसा है भला,"
164,,195,ஆண்டவர் இயேசுNவு உமதுண்மை (2),153,"तेरी विश्वासयोग्यता प्रभु यीशु,"
165,,272,ஸ்தோத்திரித்திடுவேன் எக்காலமும்,144,हर समय स्तुति करता रहूँगा
166,,212,தேவனுக்கே மகிமை 2,172,ईश्वर की महिमा (2)
167,,134,அதிசயமானவரே 2,13,"हे यहोवा तू अद्भुत है, (2)"
168,,59,என் ஆத்துமாவே கர்த்தரை ஸ்தோத்திரி,31,"मेरे आत्मा ! प्रभु को धन्य कह ! जो कुछ मुझ में है उसके नामको,"
169,,312,காயப்பட்டார் காயப்பட்டார்,256,"घायल हुआ, घायल हुआ, मेरे लिए मसीह घायल हुआ"
170,,140,சேராபீன்கள் கூட்டம் ஆராதனை செய்து,87,"सारे स्वर्गीय दूतगण, आराधना करते, कहते प्रभु यहोवा पवित्र,"
171,,259,கிறிஸ்தேசுவே நீரே என் சர்வமும்,210,"प्रभु यीशु तू सब में सब कुछ है,"
172,,266,போற்றிடுவோம் எங்கள் தேவா,42,"हे प्रभावशाली तू ईश्वर,"
173,,146,நிகரில்லா கிறிஸ்தேசுவே,131,"अनोखा है तू मसीहा, अद्वितीय ईश्वर तू है,"
174,,0,,83,"तू ही महान प्रभु है,"
175,,209,துதியும் கனமும் மகிமையும் உமக்கே,92,"स्तुति, महिमा, भक्ति, आदर, युग युग तेरे हैं ;"
176,,0,,214,"मुझ से प्रेम किया,"
177,,0,,84,"हे प्रभु तू ही तो धन्य है,"
178,,0,,215,"मैंने है पाया तुझ से प्रभुजी, ... सब कुछ है उत्तम जो मुझे दिया"
179,,0,,106,"हम सब मिलकर यीशुजी की स्तुति करते हैं,"
180,,0,,152,"स्तुति के योग्य तू ही प्रभु,"
181,,0,,145,"मैं गाऊँगा, हर समय गाऊँगा,"
182,,0,,89,"करूणामय प्रभु, पवित्र है तू, स्तुति तेरी करते हैं,"
183,,0,,270,"जयवन्त मसीह, जयवन्त हुआ है, जयवन्त सदा रहेगा,"
184,,0,,271,"प्रभु यीशु शैतान के बल को जीत लिया है,"
185,,0,,93,"गाएँगे हम तेरी स्तुति हे प्रभु महान,"
186,,0,,130,"प्रभु यीशु तू ही, महिमा स्वरूपी, पूजनीय है"
187,,0,,471,"योजनाऍं जो है यिशु की, बदलती न कभी,"
188,,270,ஜெயவேந்தனான ஆ எந்தன் பிரபுவே,273,"हे प्रभु तू ही जयवन्त सदा है, जयगीत हम गाते हैं"
189,,0,,129,"महासामर्थी ओ यीशु ! बहुत ही विशाल है तू,"
190,,0,,0,
191,,137,"ஓ ஆபிரகாம் ஈசாக்கு, இஸ்ரவேலின் தேவா",702,"हे इब्रहीम, इसहाक, और इस्राएल का ईश्वर जो,"
192,,807,எந்தன் அன்புள்ள ஆண்டவரே,0,
193,,0,,0,
194,,0,,0,
195,,0,,0,
196,,0,,0,
197,,0,,0,
198,,0,,0,
199,,0,,0,
200,,802,அல்லேலூயா பாடுவேன் பிரபு இயேசும்மைத் துதிப்பேன்,707,"हल्लेलूयाह, गाऊँगा ... स्तुति तेरी करूँगा,"
201,,149,ஆராதனைகளுக்கு தகுந்தவர் நீர் 2,0,
202,,184,போற்றிப் புகழ்வோம் தேவ மைந்தனை,157,"हम करेंगे तारीफ खुदा के बेटे की मिलकर,"
203,,0,,111,"दाऊद वंश के ख्रीस्त यीशु की ... स्तुति प्रशंसा हो,"
204,,180,தேவாதி தேவனையே எல்லாரும்,0,
205,,182,ஸ்தோத்திரம் இயேசுநாதா உமக்கென்றும்,156,"स्तुति हो यीशु तेरी, हल्लेलूयाह ! स्तुति हो यीशु तेरी ; (2)"
206,,0,,122,"स्तुति करो प्यारो स्तुति सर्वदा, करो प्यारो स्तुति सर्वदा"
207,,181,"ஸ்தோத்திரம் ஸ்தோதித்திரம்,",0,
208,,183,உண்மையுள்ள என் கர்த்தாவே,155,विश्वसयोग्य मेरे प्रभु ... मैं तेरी स्तुति करूँगा
209,,178,இரட்சகரே கர்த்தர் இயேசு ஸ்தோத்திரம் தேவா,158,मुक्तिदाता यीशु प्रभु स्तुति मैं करूँ ;
210,,179,தோத்திரம் பாடியே போற்றிடுவேன்,120,"प्रशंसा गाके मैं स्तुति करूँ,"
211,,0,,98,"स्तुति करें, प्रशंसा करें,"
212,,128,யேகோவாவின் மகத்துவம் எவ்வளவு பெரிது 2,80,"यहोवा महान और स्तुति के योग्य है,"
213,,0,,204,"कृपा मेरी तेरे लिये काफी है कहा यीशु,"
214,,177,போற்றித் துதிப்பேன் கர்த்தாவே,163,"स्तुति प्रशंसा हे प्रभु, मैं गाऊँ बार बार,"
215,,129,ஆராதிப்போம் வாரும் கர்த்தர் இயேசுவை,100,"आओ हम भजेंजे प्यारे यीशु को,"
216,,233,அனுதினம் எங்கள் பாரத்தை சுமந்திடும் தேவா,219,"प्रति दिन मेरे बोझ को, उठाता है प्रभु,"
217,,234,பக்தர்களே தியானித்திடுவோம்,240,"तुम याद करो सब भक्तों, प्रभु ने क्या क्या किया,"
218,,174,கர்த்தர் இயேசுவைத் துதிப்பது,160,"स्तुति करें यीशुजी की, अति सुन्दर और उत्तम भी है"
219,,185,போற்றும் ! போற்றும் !,193,"गाओ, गाओ ख्रीष्ट यीशु है मुक्तिदाता,"
220,,132,என் தேவனே உம் மகத்வக்கிரியைகள்,187,"प्रभु महान विचारूँ कार्य तेरे ... कितने अद्‍भुत जो तू ने बनाए,"
221,,186,போற்றிடு ஆன்மமே சிருஷ்டி கர்த்தாவாம் வல்லோரை;,0,
222,,176,இயேசுவே உந்தன் முகதரிசனத்தால் 2,211,"यीशु प्रभु तेरे चेहरे को देखकर,"
223,,189,ஜெயம் பாடுவோம் ஜெயம் பாடுவோம்,126,"बोलो जय जय, बोलो जय जय, प्रभु यीशु की जय,"
224,,701,உலக இரட்சகரே தயாளர் நீரே,104,"हे जग त्राता, विश्व बिधाता, दिया है अनमोल दान,"
225,,0,,0,
226,,0,,0,
227,,0,,0,
228,,0,,0,
229,,0,,719,"यीशु का नाम मनोहर है, कितना वह मधुर भी है"
230,,236,என்ன விதமாய்ப் பாடுவேனோ,198,"हे प्रेमी तारणहार, दया तेरी है अपार"
231,,218,சீரேசுநாதனை சிரமேற் கொண்டிடுவோம்,141,"सीस नवाए प्रभु वन्दन करते,"
232,,243,ராஜாதி ராஜா கர்த்தாதி கர்த்தா,116,"राजाओं का राजा, प्रभुओं का प्रभु,"
233,,222,ஜேய் ஜேய் இயேசு ராஜா ஜேய் ஜேய்,117,"जय जय यीशु, राजा जय जय,"
234,,240,எந்தனுள்ளமே எந்தனுள்ளமே,222,"सुन ऐ मेरी जान, प्रभु का कामों को न भूल, (2)"
235,,397,சுவிசேஷத்தைக் கேட்பீரே,149,"प्रभु तेरा नाम सुवन्दित गाऊँ, (2)"
236,,221,ஜீவனைக் கொடுத்த தேவனே,103,"जीवन दिया है परमेश्वर,"
237,,239,போற்றுவோம் போற்றுவோமே புகழ்,99,"आओ भजें उसको, प्रचार करें, प्रणाम करें,"
238,,238,போற்றிப் புகழ்ந்திடுவோம் அல்லேலூயா—துதி,170,"स्तुति प्रशंसा करो ... हल्लेलूयाह,"
239,,237,உமதுண்மை மகா பெரியது,161,"यीशु तेरी दया दृष्टि अधिक है,"
240,,0,,237,"यहोवा ने हमारे साथ महान काम किये हैं,"
241,,0,,233,"स्तुति, प्रशंसा करें, प्रभु यीशु की, आज तक है सम्भाला हमें"
242,,242,கர்த்தர் பெரிய காரியங்களைச் செய்தார்,238,"प्रभु महान कार्य किया है, हम मिल के प्रशंसा करें,"
243,,241,ஆனந்தமாய் யேகோவா உம் கிருபைகளை,0,
244,,0,,0,
245,,219,பகலில் மேக ஸ்தம்பமாயிருந்தீர்,175,"दिन में बादल का छाया बना ... रात में अग्नि का ज्वाला बना,"
246,,220,இரட்சணியப் பாடல்கள் பாடி,0,
247,,572,நன்றியுடன் பணிகிறேன்,566,"आभारी हूँ सिर मैं झुकाऊँ, जीवन अर्पण मैं करता हूँ,"
248,,235,எனக்காக யாவற்றையும் செய்பவரே,216,"मेरे लिए प्यारा यीशु सब कुछ किया है,"
249,,0,,236,"यहोवा ने कैसे का बड़े किए हैं,"
250,,0,,0,
251,,0,,709,"पूर्ण हृदय से धन्यवाद, चढ़ाता हूँ मैं प्रभु को"
252,,139,காட்டு மரங்களின் நடுவில்,0,
253,,277,ஆண்டவரைத் துதிக்க வாரும்,230,स्तुति ईश्वर की हम करें ... बीते वर्ष में सम्भाला हमें
254,,278,தோத்திரம் தோத்திரமே—தேவா,232,"स्तुति हो स्तुति प्रभु, आ आ"
255,,276,தேவா வருஷத்தை நன்மையினால் முடிசூட்டுகிறீர்,231,"प्रभु ... वर्ष पर तू ... भलाई मुकुट ... धर दिया है,"
256,,0,,0,
257,,0,,0,
258,,275,ஓ பக்தர்களே ஏகமாய் சேர்ந்து,241,"आओ भक्त लोगों हम सब मिलकर,"
259,,647,நாங்கள் பயப்படோம்—என்றும்,552,"हम में डर है नही, अब से हम में डर है नही,"
260,,648,பயப்படமாட்டோம் நாங்கள் பயப்படமாட்டோம்,551,"भय अब नहीं है, हमें भय अब नहीं है,"
261,,0,,0,
262,,0,,0,
263,,0,,0,
264,,0,,0,
265,,284,தேவகுமாரன் இயேசு பிறந்தார்—என்றும்,0,
266,,285,மாமரி சுதனாய் மானிலமதிலே,246,"चरनी में चमका चमकीला सितारा, (2)"
267,,0,,247,"बेथलहैम के ऐ छोटे कस्बे, खामोश और सुनसान होते देखा,"
