FileName,MissingLanguages
1029_இன்றே ! இன்றே ! கிறிஸ்தேசு வாழ்கிறார்.xml,"eng,tel,hin"
1030_உம்மில் மறைவேன் என்புகலிடமே.xml,"eng,tel,hin"
1031_உளையான சேற்றினின்றெடுத்தார்.xml,"eng,tel,hin"
1032_எவருமறியட்டும் எவருமறியட்டும்.xml,"eng,tel,hin"
"1033_எழுப்புதல் அனுப்பும், எழுப்புதல் அனுப்பும்.xml","eng,tel,hin"
1034_எழுப்புதல் அனுப்பும் (3 தரம்).xml,"eng,tel,hin"
1035_என் அன்பராம் நண்பராம் இயேசு.xml,"eng,tel,hin"
1036_என் இயேசுவால் ஆகாததொன்றுண்டோ_ 2.xml,"eng,tel,hin"
1037_என் கண்ணே நீ காண்பது என்ன என்ன _.xml,"eng,tel,hin"
1038_என் தீபத்திற்கு எண்ணெய் தாரும்.xml,"eng,tel,hin"
1039_என்ன அற்புத பொக்கிஷம்.xml,"eng,tel,hin"
1040_என்னுள்ளத்தில் சந்தோஷ இன்பமுண்டு.xml,"eng,tel,hin"
1041_என்னுள்ளம் தேவன்பால் பொங்கிவழியுதே.xml,"eng,tel,hin"
1042_ஓ ! தேவனுக்கு மகிமை தூக்கி எடுத்தார்.xml,"eng,tel,hin"
1043_கடனில்லையாம் தீர்ந்து போயிற்றே.xml,"eng,tel,hin"
1044_கர்த்தருக்கு பாத்திரராக நடந்து வாழுங்கள்.xml,"eng,tel,hin"
1045_கர்த்தாவே இந்தாகாரமே.xml,"eng,tel,hin"
1046_கிருபையாலே இரட்சித்தீரே.xml,"eng,tel,hin"
1047_கீதம் பாடுவோம் வேதம் வாசிப்போம்.xml,"eng,tel,hin"
1048_கெத்செமனேயின் கோரம்.xml,"eng,tel,hin"
1049_கொண்டு போம் ஓர் ஆளிடம்.xml,"eng,tel,hin"
"1050_செய்வேனென்றார் அற்புதம்,.xml","eng,tel,hin"
1051_சோர்ந்து போனாயோ_ இல்லை இல்லை.xml,"eng,tel,hin"
1052_தட்டித் தட்டியே நிற்கிறார்.xml,"eng,tel,hin"
1053_தினந்தோறும் கட்டுகிறோம்.xml,"eng,tel,hin"
"1054_துதி, கனம் மகிமையுமக்கே.xml","eng,tel,hin"
1055_துள்ளி துள்ளி ஓடும் மான்கள் இங்கும்.xml,"eng,tel,hin"
"1056_தூய தேவா திரியேக தேவா நீர் வாரும் நீரே வாரும்,.xml","eng,tel,hin"
1057_தெய்வ அன்பே நித்ய அன்பே.xml,"eng,tel,hin"
1058_தேவ ஆசீர்வாதத் தோடே.xml,"eng,tel,hin"
1059_தேவன் நமக்காய்த் தம் மைந்தனைத் தந்தார்.xml,"eng,tel,hin"
1060_தேவன் நீக்கிவிட்டார்.xml,"eng,tel,hin"
1061_நாதன் இயேசுவைத் துதிசெய் உலகில்.xml,"eng,tel,hin"
1062_நாமெல்லாம் மோட்சம் சேரும் நாள்.xml,"eng,tel,hin"
1063_நான் இயேசுவை நேசிக்கிறேன்.xml,"eng,tel,hin"
1064_நீங்கிற்றே நீங்கிற்றே நீங்கிற்றே.xml,"eng,tel,hin"
1065_நேசிக்கச் சிறந்தவர் கிறிஸ்தேசு.xml,"eng,tel,hin"
1066_நேற்றும் இன்றும் என்றும் மாறார் இயேசு இரட்சகர்.xml,"eng,tel,hin"
1067_பயப்படவே மாட்டேன்.xml,"eng,tel,hin"
1068_பரலோக இன்ப நாடே.xml,"eng,tel,hin"
1069_பாத்திரம் நிரம்பினாலுமே.xml,"eng,tel,hin"
1070_பாவங்களை சுத்தி பண்ணுமே (3 தரம்).xml,"eng,tel,hin"
1071_பெலன் கொடுக்கிறவரால்.xml,"eng,tel,hin"
1072_மகிமை கனம் துதிவல்லமை.xml,"eng,tel,hin"
1073_மேல் நோக்கிப்பார் திடன்கொள் மகிழ்.xml,"eng,tel,hin"
1074_மோட்சம் செல்லும் யாத்ரீகர் நாம்.xml,"eng,tel,hin"
1075_வாசிக்கச் சிறந்த புஸ்தகம் வேதம்.xml,"eng,tel,hin"
1076_வீண் கவலை உனக்கெதற்கு.xml,"eng,tel,hin"
1077_வேதத்திலே வேதத்திலே.xml,"eng,tel,hin"
1078_வே த புத் த கம்.xml,"eng,tel,hin"
1079_வேத வாக்கொவ்வொன்றும் எனக்குரியது.xml,"eng,tel,hin"
107_Parishuddha prabhu yesu.xml,tam
1080_ஜீவப்பத்தைப் புசித்தே ஜீவிக்கிறேன்.xml,"eng,tel,hin"
1081_ஜீவனுள்ள தேவனின் ஆவியே வாரும்!.xml,"eng,tel,hin"
1082_ஜெபத்தின் ஆவியைப் பொழியுமே.xml,"eng,tel,hin"
1083_ஜேய் ஜெயமே (4 தரம்).xml,"eng,tel,hin"
1084_ஜீவிக்கிறார் இயேசு ஜீவிக்கிறார்.xml,"eng,tel,hin"
1085_மகிமை யாவும் அவருக்கே.xml,"eng,tel,hin"
1086_நேசிக்க சிறந்தவர் கிறிஸ்தேசு (2).xml,"eng,tel,hin"
1087_அற்புத ஜீவியம் ஆஹா அற்புதம்.xml,"eng,tel,hin"
1088_வல்லவர் வல்லவர் கர்த்தர் மகா வல்லவர்.xml,"eng,tel,hin"
1089_ஓ இன்ப நாள்! ஓ இன்ப நாள்.xml,"eng,tel,hin"
1090_இயேசு என்னை கைவிட மாட்டார் (2).xml,"eng,tel,hin"
1091_இயேசுவுக்காக ஜீவிப்பேன் நாள்.xml,"eng,tel,hin"
1092_இயேசுவே நீர் என்னை கண்பாருமே (3).xml,"eng,tel,hin"
"1093_கிளிங், கிளிங் சைக்கிள் ஹென்பாரும்.xml","eng,tel,hin"
1094_எத்தனை தாலந்துகள் உன்னில் உள்ளதோ.xml,"eng,tel,hin"
1095_சின்ன தம்பி சின்ன தங்காய்.xml,"eng,tel,hin"
1096_போற்றுங்கள் போற்றுங்கள்.xml,"eng,tel,hin"
1097_உப்புத் தண்ணீரில் வாழும் மீனும்.xml,"eng,tel,hin"
1098_ஒரு சின்ன பையன் நான்.xml,"eng,tel,hin"
1099_சின்ன சின்ன தம்பிகளே.xml,"eng,tel,hin"
10_கர்த்தாவே என் கன்மலையுமென் கோட்டையும்.xml,"eng,tel,hin"
1100_இயேசு வந்த உள்ளம்.xml,"eng,tel,hin"
"1101_குண்டு, குண்டு, மலைகளைப்பார்.xml","eng,tel,hin"
1102_நான் ஆடிப்பாடி மகிழுவேன் 3.xml,"eng,tel,hin"
1103_தாவிதைப் போல நடனமாடி.xml,"eng,tel,hin"
"1104_வேண்டும், வேண்டும் எனக்கு.xml","eng,tel,hin"
1105_சிட்டுக் குருவிப் போல் நானிருந்தால்.xml,"eng,tel,hin"
"1106_சிட்டு குருவி, சிட்டுக் குருவி.xml","eng,tel,hin"
1107_இயேசப்பா யாரென பார்க்க விரும்பினான்.xml,"eng,tel,hin"
1108_பொய் சொல்லாதே திருடாதே.xml,"eng,tel,hin"
1109_இயேசுவின் பின்னே நானும் போகிறேன்.xml,"eng,tel,hin"
"1110_தூர, தூர, தூர போ.xml","eng,tel,hin"
1111_இன்றைய நாள் 2.xml,"eng,tel,hin"
1112_கோழி தன் குஞ்சுகளை.xml,"eng,tel,hin"
"1113_வேத வசனமே, என் காலுக்கு தீபம்.xml","eng,tel,hin"
114_ख्रीष्ट यीशु सबका प्रभु है ... परमेश्वर भी वह है.xml,"eng,tel,tam"
116_Nene unnavaada nanina.xml,tam
"11_வானங்கள் தேவ மகிமையை வெளிப்படுத்துகிறது,.xml","eng,tel,hin"
120_Raatrimbavallu paadedanu.xml,tam
121_Shanthi daayaka Yesu prabhoo.xml,"tam,hin"
123_நல் மீட்பர் இயேசு நாமமே.xml,"eng,tel,hin"
124_கண்டேனே காருண்ய முத்தை.xml,"eng,tel,hin"
125_பக்தரே! அண்ணாந்து பாரும்!.xml,"eng,tel,hin"
126_தெய்வாட்டுக் குட்டிக்கு.xml,"eng,tel,hin"
127_பாவிகளுக்காய் ஜீவனை விட்ட.xml,"eng,tel,hin"
130_Yesu kristu prabhuvaayane.xml,hin
131_Halleluya stuti prashamsa.xml,tam
131_இயேசுவின் நாமம் இனிதான நாமம்.xml,"eng,tel,hin"
132_Stotra geetamulanu paaduchu.xml,"tam,hin"
"135_ஆத்துமமே, உன் ஆண்டவரின்.xml","eng,tel,hin"
136_ஆனந்தத்தோடே உம்மை ஆராதிப்.xml,"eng,tel,hin"
138_Adyantha rahitha prabhuvaa.xml,"tam,hin"
138_கர்த்தராகிய இயேசுவின் நாமம்.xml,"eng,tel,hin"
"141_மா மாட்சி கர்த்தர் சாஷ்டாங்கம் செய்வோம்,.xml","eng,tel,hin"
142_Yesuni naama shabdamu.xml,"tam,hin"
142_வாரும் தேவா வானவ ராஜா.xml,"eng,tel,hin"
143_Kontini goppa mutyamu.xml,"tam,hin"
143_வாழ்த்துவோமே வாழ்த்துவோமே.xml,"eng,tel,hin"
144_Bhaktulara dhukka krantudu.xml,"tam,hin"
"144_விண்ணோர்கள் போற்றும் ஆண்டவா,.xml","eng,tel,hin"
145_Rajadi rajupai kireetamunchudi.xml,"tam,hin"
"145_வெற்றிகொண்ட சபை பாடும்,.xml","eng,tel,hin"
146_Sarwamupai yesu rajyamelun.xml,"tam,hin"
147_Yesuprabhoo gaddepainunna.xml,"tam,hin"
148_Atyantha sundarundunu.xml,"tam,hin"
149_Aa mundla kireetam boyenu.xml,"tam,hin"
150_Namaskarimpa randi.xml,"tam,hin"
150_எந்தன் ஆத்ம நேசர் எங்கே_.xml,"eng,tel,hin"
"151_Shudhi, Shudhi, Shudhi.xml","tam,hin"
158_Prabhuvaa needu ghana.xml,tam
"173_எத்தனை இன்பமாய் இயேசுவே உம்மை,.xml","eng,tel,hin"
174_Ghanatha mahima prabhuke.xml,tam
176_Naa prabhu preminchenu.xml,tam
177_Oh prabhu neeve dhanyudavu.xml,tam
"177_गाऊँगा, तेरी स्तुति, हे प्रभु तू महान है,.xml","eng,tel,tam"
178_Ponditini nenu prabhuvaa.xml,tam
"178_भर दो प्रभु इस मुँह को, स्तुति के गीतों से,.xml","eng,tel,tam"
179_Andaramu prabhu ninnu.xml,tam
"179_सामर्थी ईश्वर तू, तेरी सामर्थ अपार जो है.xml","eng,tel,tam"
180_Poojaneeyudesu prabhu.xml,tam
"180_मनुष्य का चोला धारण कर,.xml","eng,tel,tam"
181_Ne paadeda nityamu.xml,tam
"181_जय प्रभु यीशु सृजनहार, ... पापी का तू ही है तारणहार.xml","eng,tel,tam"
182_Pravimaludaa paavanudaa.xml,tam
"182_जय जय यीशु, जय जय यीशु,.xml","eng,tel,tam"
183_Vijayundu kristu.xml,tam
183_हम से वर्णनी न जाए ... मसीह तुम्हारी महिमा  (2).xml,"eng,tel,tam"
184_Yesu prabhuve saataanu.xml,tam
"184_धन्य प्रभु यीशु को ... मुक्तिदाता जिसका नाम, (2).xml","eng,tel,tam"
185_Paadedamu nee stutulanu.xml,tam
"185_स्तुति हो उद्धार के लिए ... लोहू से मैं धुल गया,.xml","eng,tel,tam"
186_Prabhuvaina kristu mahimaaswaroopa.xml,tam
"186_हे पिता परमेश्वर नाम तेरा पवित्र है,.xml","eng,tel,tam"
187_Yesu prabhuni sankalpamulu.xml,tam
189_Mahaa saamaardya.xml,tam
"189_मसीह में मैं ने पाया है ... एक मोती बहुमोल,.xml","eng,tel,tam"
18_Pillalara na mata vinudi.xml,tam
18_सारे लोगों यीशु की जय जय मिलके गाओ; (2).xml,"eng,tel,tam"
190_Stutiyu prasamsayu mahimayu.xml,"tam,hin"
191_அடைக்கலமே உமதடிமை நானே.xml,"eng,tel,hin"
192_Naa priyamaina Yesu prabhu.xml,hin
"192_कैसा मधुर यीशु का नाम ... विश्वासियों को है,.xml","eng,tel,tam"
192_அல்லேலூயா மங்களம்! அல்லேலூயா ஸ்தோத்திரம்.xml,"eng,tel,hin"
193_Tambura sitaratho.xml,"tam,hin"
193_அன்புள்ள நேசர் ஏசு; எனக்கெல்லாம் அவரே.xml,"eng,tel,hin"
194_Naa priyudaa paapavimochakudaa.xml,"tam,hin"
194_हे महापवित्र ! सर्वशक्तिमान परमेश्वर !.xml,"eng,tel,tam"
194_அன்புள்ள நேசரின் கிருபை.xml,"eng,tel,hin"
195_Ni mandiramu atisrngaramu.xml,"tam,hin"
"195_शोभित हो मुकुट से ... मेम्ना सिंहासन पर,.xml","eng,tel,tam"
196_Yesu nike jayam jayamu.xml,"tam,hin"
197_Aanandamutho  aaradhinthun.xml,"tam,hin"
"197_இயேசுவே, உம்மை தியானித்தால்.xml","eng,tel,hin"
198_Naa manonetramu terachi.xml,"tam,hin"
199_Mahima ghanatha stuthi prabavamu.xml,"tam,hin"
199_இருக்கிறேன் என்றவர்.xml,"eng,tel,hin"
2001_ஸ்துதிப்பின் ஸ்துதிப்பின் தெய்வ ஜனமே.xml,"eng,tel,hin"
2002_அடவி தருக்களின் இடயில்.xml,"eng,tel,hin"
2003_ஸ்ரீயேசு நாமம் அதிசய நாமம்.xml,"eng,tel,hin"
2004_இயேசுவின் ஸ்நேஹத்தால் என்னுள்ளம் பொங்ஙந்நே.xml,"eng,tel,hin"
2005_என்டே இயேசு எனிக்கு நல்லவன்.xml,"eng,tel,hin"
2006_எந்ததிசயமே தெய்வத்தின் ஸ்நேகம்.xml,"eng,tel,hin"
2007_யேசுவோடு சேர்ந்திருப்ப தெத்ற மோதமே.xml,"eng,tel,hin"
2008_அனுக்ரஹகத்தின் அதிபதியே.xml,"eng,tel,hin"
2009_இயேசுகிறிஸ்து உயிர்த்து ஜீவிக்குந்நு.xml,"eng,tel,hin"
200_உம்பாதம் பணிந்தேன் எந்நாளும் துதியே.xml,"eng,tel,hin"
2010_தினம் தினம் தினம் நீ வாழ்த்துகா.xml,"eng,tel,hin"
2011_லோகமாம் கெம்பீர வாரிதியில்.xml,"eng,tel,hin"
201_Aaraadhanalaku yogyudavu.xml,hin
201_உன்னதத்தின் தூதர்களே ஒன்றாகக் கூடுங்கள்.xml,"eng,tel,hin"
202_எந்தன் நாவில் புதுப்பாட்டு.xml,"eng,tel,hin"
203_Daveedu vamsa yesu.xml,tam
203_என் பாத்திரம் நிரம்பி வழிகிறது.xml,"eng,tel,hin"
204_Devaadi devuni bhoo.xml,hin
204_ஏகோபித்துச் சேருங்களேன்.xml,"eng,tel,hin"
205_கனம் மகிமை கர்த்தருக்கே.xml,"eng,tel,hin"
206_Stutiyinchu priyudaa.xml,tam
207_Stotramu stotramu stotramu.xml,hin
207_துதிசெய் மனமே நிதம் துதிசெய்.xml,"eng,tel,hin"
208_துதிக்கப்படத்தக்கவர் நீரே 2.xml,"eng,tel,hin"
210_துதிப்பேன் இயேசுவின் பாதம்.xml,"eng,tel,hin"
211_Stutiyinthumu - stotrinthumu.xml,tam
211_துதியுங்கள் சர்வ சேனைகளே நீங்கள்.xml,"eng,tel,hin"
213_Krupagala devuni koniyaadedamu.xml,tam
213_பரம மகிமைக்காகப் பாடுவேன்.xml,"eng,tel,hin"
214_மெய்த் தேவனைத் துதி; பெருநன்மை செய்தார்..xml,"eng,tel,hin"
"215_மெய் பக்தர், தாசரே;.xml","eng,tel,hin"
216_ஸ்துதிகனம் புகழ் மகிமையுமக்கே.xml,"eng,tel,hin"
217_ஸ்தோத்திரம் துதி பாத்திரா உம்மை.xml,"eng,tel,hin"
21_பலவான்களின் புத்திரரே.xml,"eng,tel,hin"
221_Prabhaava shaktulu.xml,hin
225_Krupaathi shayamul.xml,"tam,hin"
226_Stutinchu stutinchu.xml,"tam,hin"
227_Ne sthuthinchedanu yesu namamunu.xml,"tam,hin"
"227_भजो मीठा नाम, प्रभु यीशु नाम,.xml","eng,tel,tam"
228_Padeda deva  nee krupalan.xml,"tam,hin"
"228_आओ प्यारो शरण मसीह की,.xml","eng,tel,tam"
229_Yesu namam manoharam.xml,tam
"229_दर्शन को आए हैं पिताजी ... बिनती हमारी यह सुन लो,.xml","eng,tel,tam"
231_உண்மையும் மகாவல்லமையும் உள்ளவரே.xml,"eng,tel,hin"
240_Yehovaa goppa kaaryamulu.xml,tam
241_Stutintun parishudduni.xml,tam
243_Aanandamugaa Yehovaa Nee Krupaalanni.xml,hin
244_Devuni keertinchedamu.xml,"tam,hin"
244_உன்னத தேவன் உன்மேலுள்ள அன்பினால்.xml,"eng,tel,hin"
245_அருணோதயம் எழுந்திடுவோம்.xml,"eng,tel,hin"
246_Rakshanya paatalu paadi.xml,hin
249_Yehovaa manakoraku.xml,tam
249_ஆனந்தமாய் இன்பக் கானான் ஏகிடுவேன்.xml,"eng,tel,hin"
"24_எவனுடைய மீறுதல் மன்னிக்கப்பட்டதோ,.xml","eng,tel,hin"
250_Yohovaa kaaryamulannitikai.xml,"tam,hin"
250_ஆனந்தமாய் நாம் ஆர்ப்பரிப்போமே.xml,"eng,tel,hin"
251_Poorna hrudaya stotramul.xml,tam
251_ஆஹா என்ன இன்பம் பரலோக இன்பம்.xml,"eng,tel,hin"
252_Adavi chetla naduma.xml,hin
252_இம்மட்டும் ஜீவன் தந்த கர்த்தாவை அத்தியந்த.xml,"eng,tel,hin"
253_இயேசு நேசிக்கிறார் இயேசு நேசிக்கிறார்;.xml,"eng,tel,hin"
254_உள்ளம் எல்லாம் உருகுதையோ.xml,"eng,tel,hin"
255_எந்தன் பூ மானைக் காண சிந்தை பெருகுதையோ!.xml,"eng,tel,hin"
256_Stutulu nee karpintunu.xml,"tam,hin"
256_என் தேவனே! உம் கிருபை.xml,"eng,tel,hin"
257_Prabhuva padedha noka.xml,"tam,hin"
257_என்னையும் நேசிக்கிறார்—எந்தன்.xml,"eng,tel,hin"
"258_கிருபை, கிருபை, கிருபை—தேவ.xml","eng,tel,hin"
260_கோடா கோடி ஸ்தோத்திரம் பாடி.xml,"eng,tel,hin"
261_Prabhu kristesu neeke.xml,"tam,hin"
261_சகல நல் ஈவுகளை இவ்வுலகில்.xml,"eng,tel,hin"
262_Naa priyudu naavaadu nenu.xml,"tam,hin"
"262_தெய்வன்புதான் மா இனிமை,.xml","eng,tel,hin"
263_Ee Sudinamu-Yesu Prabuva.xml,"tam,hin"
263_நீர் தந்த நன்மை யாவையும்.xml,"eng,tel,hin"
264_Sanvatsaradi modalu - sanvatsarantamu.xml,"tam,hin"
264_நீரோடையை மான் வாஞ்சித்து.xml,"eng,tel,hin"
265_Deva sutudu yesu.xml,hin
265_பாவத்தில் மரித்து.xml,"eng,tel,hin"
"266_कनान देश के एक नगर के पास ... एक पर्वत खड़ा था,.xml","eng,tel,tam"
267_Betlehem puramuna.xml,tam
267_போற்றிடுவோம் போற்றிடுவோம்.xml,"eng,tel,hin"
269_Doota paata padudi.xml,tam
269_வாழ்த்துகிறேன் வாழ்த்துகிறேன் வாழ்த்துகிறேன் நான்.xml,"eng,tel,hin"
271_Udayinche divya rakshakudu.xml,hin
271_ஸ்தோத்திரம் ஏசுதேவா…. ஸதுதி கனம் மகிமையே.xml,"eng,tel,hin"
"272_Niraakaaraa, suroopudaa.xml",hin
273_Yesuni shramalatoda.xml,hin
273_துதித்துப்பாடிட பாத்திரமே.xml,"eng,tel,hin"
275_Yesu prabhu naa.xml,tam
279_இத்தனை ஆண்டுகள் கடக்கப் பண்ணின தேவா.xml,"eng,tel,hin"
280_Daivatanayaa kristhunadhundaa.xml,hin
280_இயேசுநாதனைப் போற்றிடுவோம் புகழ்ந்து.xml,"eng,tel,hin"
281_சந்தோஷ கீதம் என்னில் பொங்குதே.xml,"eng,tel,hin"
282_Yetuvanti yaagambu.xml,hin
282_தேவரீருக்கே மிகத்தோத்திரம் மிகத்தோத்திரம்.xml,"eng,tel,hin"
283_Choodumade nee.xml,tam
283_விசுவாசியே நம் பண்டிகையை.xml,"eng,tel,hin"
287_Calvari guttameedanu.xml,tam
287_கேள் ! ஜென்மித்த ராயர்க்கே.xml,"eng,tel,hin"
"288_खुदा के वायदे नहीं टल सकते, पर कायम वे रहते चट्टान की तरह,.xml","eng,tel,tam"
288_அதோ ! மாட்டுத் தொழுபார்!.xml,"eng,tel,hin"
"289_रखता हूँ मसीह के वायदों पर ईमान,.xml","eng,tel,tam"
289_இயேசு என் மீட்பர் சண்டாளருக்காய்.xml,"eng,tel,hin"
291_Lechinaaduraa samaadhi.xml,"tam,hin"
291_நள்ளிரவில் தேவ தூதன் நாட்டின் மேய்ப்பருக்கே.xml,"eng,tel,hin"
"292_பிறந்தார், பிறந்தார்.xml","eng,tel,hin"
293_Yesu smadhilo.xml,tam
294_Kristu leche Halleluya.xml,"tam,hin"
295_Kristu nedu lechenu.xml,tam
297_Raajaadhi raajaa raave.xml,hin
298_Meghaaroodundai - prabhu.xml,tam
299_Prabhuni raakada eediname.xml,hin
302_Sodarulaaraa lendi.xml,tam
303_Yesu raagaane sangamu.xml,tam
"303_यीशु के तू भज ले,.xml","eng,tel,tam"
304_Rajula rajuga Yesu.xml,hin
305_Nee devuni sandhincha neevu.xml,hin
307_Yesu sheegramugaa vachchun  aashatho.xml,hin
307_அன்பரின் நேசம் யார் சொல்லலாகும்_ அதிசய.xml,"eng,tel,hin"
308_Meluko mahima raju.xml,hin
308_ஆட்டுக்குட்டியின் திரு ரத்தத்தினால்.xml,"eng,tel,hin"
309_கருணையுள்ள தேவ சுதன்.xml,"eng,tel,hin"
311_Idigo nenu vachu chunnaanu.xml,tam
311_ஓ இயேசுவே என்னை மூட.xml,"eng,tel,hin"
313_சிலுவை சுமந்த உருவம்.xml,"eng,tel,hin"
314_விலையேறப்பெற்ற ரத்தமே.xml,"eng,tel,hin"
317_இயேசு ரட்சகர் சிலுவை.xml,"eng,tel,hin"
318_ஜெயமே இயேசுவின் ரத்தத்தின் மூலமே.xml,"eng,tel,hin"
319_கொல்கதா மலை மீதிலே சிலுவை சுமந்தேறினார்.xml,"eng,tel,hin"
321_Yesu kristu sheeghramuga.xml,"tam,hin"
322_அந்தோ பாரும் உனக்காகவே.xml,"eng,tel,hin"
323_உயிர்த்தெழுந்தாரே—பிரேதக்.xml,"eng,tel,hin"
324_Halleluyah Halleluyah.xml,tam
"324_जब प्रभु को मेम्ना पाक, क्रूस पर बलि हो गया,.xml","eng,tel,tam"
325_Oh sanghamaa shubha vaartha.xml,"tam,hin"
326_Leru leru - jagatin nee samamu.xml,"tam,hin"
"326_இன்று கிறிஸ்து எழுந்தார்,.xml","eng,tel,hin"
327_Rajulaku rajaina Yesu prabhuvu ranai.xml,"tam,hin"
328_ParamaThandri suthudu.xml,hin
329_Deva gorrepilla siluvalo samasinappudu.xml,"tam,hin"
331_Paraloka rajyamu cherutaku.xml,tam
336_Eyana mata vinudi - needu.xml,"tam,hin"
338_Parugidara sodaruda.xml,"tam,hin"
"338_दुनिया है धोखा सरासर, सरासर (3),.xml","eng,tel,tam"
339_Vinudi sodarulaaraa.xml,tam
340_Randi randi rayamuna Yesuni.xml,"tam,hin"
341_Iruku margambulo pravesinchu.xml,tam
342_Krupa kalamu dati povuchunnadi.xml,hin
343_Prabhu Yesuke jayamanipaadu.xml,tam
344_Caluvarilo vimukhti - kaligeno priyundaa.xml,tam
345_Yesu prabhuve gaaka vasudhalo.xml,tam
345_ஆண்டவர் வருகையது அதிவிரைவிலுள்ளது.xml,"eng,tel,hin"
346_Prabhu sriyesu - prabhu sri yesu.xml,tam
346_இந்தக் கடைசி நாட்களில்.xml,"eng,tel,hin"
347_எக்காள சத்தம் வானில் தொனித்திடவே.xml,"eng,tel,hin"
348_किस खोज में हो सब तुम ... इस पापी दुनिया में _.xml,"eng,tel,tam"
348_எக்காள சத்தம் வானில் முழங்கவே.xml,"eng,tel,hin"
"349_यीशु ने तेरे वास्ते, अपना लोहू बहा दिया, (2).xml","eng,tel,tam"
349_என் இயேசு ராஜன் வருவார்.xml,"eng,tel,hin"
350_Rammanu chunna desu raaju.xml,tam
"350_यीशु पर ला विश्वास, लोग धर्मी बन जाते हैं.xml","eng,tel,tam"
"351_गर विश्वास तू लाएगा अभी मेम्ने पर ईश्वर के,.xml","eng,tel,tam"
351_தேவன் வருகின்றார் வேகம் இறங்கி.xml,"eng,tel,hin"
352_Rarandi yesu padamula chera.xml,hin
"352_साधु भेष में फिरनेवाले,.xml","eng,tel,tam"
352_மரித்தோர் எவரும் உயிர்தெழுவார்.xml,"eng,tel,hin"
353_Ilalo yesunake jayamu.xml,tam
"353_खुदा को भूलकर मसरूफ क्यों है खुद परस्ती में,.xml","eng,tel,tam"
"353_மேகமீது தூதரோடிதோ இதோ,.xml","eng,tel,hin"
"354_क्यों मन भूला है यह संसारा, (2).xml","eng,tel,tam"
354_இராஜாதி இராஜன் இயேசு வருவார்.xml,"eng,tel,hin"
"355_कुछ न भरोसा इस जीवन का, (2).xml","eng,tel,tam"
"356_भरोसा जीवन का नहीं है, मनुष्य रूप में आया है,.xml","eng,tel,tam"
356_வேகத்திலே விண்மேகத்திலே என்.xml,"eng,tel,hin"
"357_आया यीशु पापियों के पास, अपना रूप बदल के,.xml","eng,tel,tam"
357_இயேசு சீக்கிரம் வருகிறார்.xml,"eng,tel,hin"
358_Rakshana nosagedu Yesuni.xml,hin
358_आओ मिलकर चलें प्यारे यीशु के पास.xml,"eng,tel,tam"
"358_இயேசு சீக்கிரம் வரப்போகிறார்வெளி.22_7,12.xml","eng,tel,hin"
359_Papulakoraku prabhuyesu.xml,tam
"359_मुहब्बत खुदा की दिखाने के लिए, सलीब पर चढ़ गया यीशु,.xml","eng,tel,tam"
35_Devuniki morra pettudunu elugeththi.xml,tam
