MasterID,TeluguNo,EnglishNo,TamilNo,HindiNo,TeluguTitle,EnglishTitle,TamilTitle,HindiTitle
27,27,27,35,17,మన దేవుని పట్టణమందాయన,Mana devuni pattana mandaayana,கர்த்தர் பெரியவர் அவர் நமது,"परमेश्वर अपने पवित्र नगर,"
28,28,28,36,73,సర్వజనులారా వినుడి - మీరేకంబుగా వినుడి,Sarva Janulaaraa vinudi,ஜனங்களே இதைக் கேளுங்கள்,"सब देश के निवासियों, तुम कान लगाकर सुनो"
29,29,29,37,59,యెహోవా నా దేవా,Yehovaa naa devaa,தேவனே உமது—கிருபையின்படி,"दया करके हे प्रभु ... पाप मिटा सब मेरे,"
30,30,30,40,60,దేవా నా దేవుడవు నీవే,Devaa naa devudavu neeve,தேவனே நீரே என் தேவன் அதி,ढूंढूँगा मैं यत्न से ... तू ही है मेरा ईश्वर  (2)
31,31,31,41,19,సర్వలోక నివాసులారా,Sarvaloka nivaasu laara,பூமியின் குடிகளே நீங்கள் எல்லாரும் பாடுங்கள்,"रहेगा नाम सदा बना मसीह का,"
32,32,32,42,61,నీ మార్గము దేవా భూమి,Nee maargamu devaa,"தேவனே பூமியிலே உம்முடைய வழியும்,",ईश्वर हम पर अनुग्रह करे ... आशीष हम को देवे ;
33,33,33,43,19,క్రీస్తుని నామము నిత్యము నిల్చున్,Kristuni naamamu nityamu nilchun,"கிறிஸ்துவின் நாமம் என்றென்றைக்கும் இருக்கும்,","रहेगा नाम सदा बना मसीह का,"
34,34,34,44,20,యూదాలో దేవుడు ప్రసిద్ధుడు,Yoodaalo devudu prasiddhudu,யூதாவில் தேவன் அறியப்பட்டவ் —இஸ்ர,परमेश्वर यहुदा में जाना गया है; (2)
35,35,35,0,62,దేవునికి మొఱ్ఱపెట్టుదును ఎలుగెత్తి,Devuniki morra pettudunu elugeththi,,"चिल्ला चिल्ला कर यहोवा की दोहाई दूंगा,"
36,36,36,45,21,మన బలమైన యాకోబు దేవునికి,Mana balamaina yaakobu devuniki,நம் பெலனாகிய தேவனைப் பாடுங்கள்,"जय गाओ प्रभु की वही बल है, याकूब के परमेश्वर की करो जय जय,"
37,37,37,46,22,సైన్యముల యెహోవా,Sainyamula Yehovaa,சேனைகளின் கர்த்தாவே உமது வாசஸ்தலங்கள்,"हे सेनाओं के यहोवा, निवास तेरे प्रिय हैं,"
38,38,38,47,63,ప్రభువు సెలవిచ్చుదాని నాలకింతును,Prabhu selavitchu daani naala kintunu,கர்த்தராகிய தேவன் விளம்புவதைக் கேட்பேன்;,मैं कान लगाकर सु्नूंगा ... यहोवा क्या कहे ; (2)
39,39,39,48,23,ప్రభువా తరతరముల నుండి,Prabhuvaa thara tharamula nundi,எங்களுக்குத் தலைமுறை,"हे प्रभु तू ही पीढ़ी से ... धाम हमारा सदा बना है,"
40,40,40,49,24,దేవా తరతరములకు,Devaa thara tharamulaku,தேவரீர் தலைமுறையாகவே,"पीढी से पीढ़ी ... तू ही यहोवा, बना हमारा है धाम  (2)"
41,41,41,50,74,మహోన్నతుని చాటున వసియించువాడే,Mahonnathuni chaatuna vasinchu vaade,உன்னதமானவரின்,हे यहोवा तू मेरा शरण स्थान है ;
42,42,42,51,25,సర్వోన్నతుని చాటున నివసించెడి,Sarvannathuni chaatuna nivasinchedi,உன்னதமானவரின் மறைவிலிருக்கிறவன்,"परम प्रधान के स्थानों में, जो बैठा रहेगा;"
43,43,43,52,26,యెహోవాను స్తుతించుట మంచిది,Yehovaanu stutinchuta manchidi,கர்த்தரைத் துதிப்பதும் உன்னதமானவரே உமது,"यहोवा का धन्यवाद है करना कैसा भला, (2)"
44,44,44,53,27,రండి యెహోవానుగూర్చి,Randi yehovaanu goorchi,கர்த்தரைக் கெம்பீரமாய்ப் பாடி,"यहोवा के लिए गाऍं,"
45,45,45,54,28,యెహోవా మీద క్రొత్త కీర్తన,Yehovaa meeda kroththa keertana,கர்த்தருக்குப் புதுப்பாட்டைப் பாடுங்கள்.,यहोवा के लिए नया गीत गाओ; (2)
46,46,46,55,29,సమస్త దేశములారా అందరు పాడుడి,Samastha deshamulaaraa andaru paadudi,பூமியின் குடிகளே எல்லாரும் பாடுங்கள்,"यहोवा का जय जयकार हे सारी पृथ्वी करो,"
47,47,47,56,30,సమస్త జనులారా మీరు,Samastha janulaaraa meeru,"சகல ஜனங்களே எல்லாரும்,","हे सारी पृथ्वी के लोगों, यहोवा की स्तुति तुम करो,"
48,48,48,58,32,స్తుతియించు ప్రభున్ స్తుతియించు,Stutiyinchu - prabhun stutiyinchu,என் ஆத்துமாவே கர்த்தரை ஸ்தோத்திரி,"स्तुति प्रभु की, करो स्तुति प्रभु की ... तुम"
49,49,49,60,33,వారాయనను జనసమాజములో,Vaaraayananu jana samaajamulo,"ஜனங்களின் சபையிலே கர்த்தரை உயர்த்தி,","बहती नदियों को यहोवा बियावान बनाता है,"
50,50,50,61,34,దేవా నా హృదయము,Devaa naa hrudayamu,தேவனே என் இருதயம்,"हे ईश्वर मेरा हृदय, स्थिर है मै गाऊँगा ;"
51,51,51,62,35,స్తుతింతున్ దేవుని సభలో,Stutintun devuni sabhalo,துதிப்பேன் கர்த்தரைச் சபையில்,"स्तुति करो तुम याह की (२), तुम स्तुति करो  (2)"
52,52,52,67,36,యెహోవా నీ యొక్క మాట,Yehovaa nee yokka maata,கர்த்தாவே உமது வசனத்தின்படி,"हजारों रूपयों और मुहरों से भली, (2)"
53,53,53,0,64,నా శ్రమలో నేను యెహోవాకు మొఱలిడితిని,Naa shramalo Yehovaaku moraliditini,,संकट में मैंने प्रभु से विनती की  (2)
54,54,54,68,65,కొండలతట్టు కన్ను లెత్తుచున్నాను,Kondala thattu kanuleththu,ஒத்தாசை வரும் பர்வதங்களுக்கே,"आँखें पर्वत की तरफ लगाऊँ, ... मदद कहाँ से अपनी मैं पाऊँ ?"
55,55,55,69,37,యెహోవా మందిరమునకు వెళ్లుదమని,Yehovaa mandiramunaku velludamani,கர்த்தரின் ஆலயத்திற்குப்,"जब लोगों ने कहा मैं हुआ प्रसन्न, (2)"
56,56,56,71,76,యెహోవా ఇల్లు కట్టించని యెడల,Yehovaa illu kattinchani yedala,கர்த்தர் வீட்டைக் கட்டாராகில்,"यदि यहोवा घर न बनाए,"
57,57,57,74,66,యెహోవా అగాధ స్థలములలో నుండి,Yehovaa agaadha stalamula lonundi,கர்த்தாவே ஆழங்களிலிருந்தும்மை,हे यहोवा गहरे स्थानों से ... तुझ को मैंने पुकारा है ;
58,58,58,75,77,సహోదరులు ఐక్యత కల్గి,Sahodarulu yaikyata kalgi,இதோ சகோதரர் ஒருமித்து,"देख क्या है भली बात यह है ... और खूब मनोहर भी, (2)"
59,59,59,76,38,యెహోవా సేవకులారా స్తుతించుడి,Yehovaa sevakulaaraa stutinchudi,கர்த்தரின் ஊழியக்காரரே அவரின்,"यहोवा के सेवकों स्तुति करो,"
60,60,60,77,39,యెహోవాను స్తుతించుడి ఆయన,Yehovaanu stutinchudi aayana,கர்த்தரைத் துதியுங்கள் அவர் நல்லவர்,यहोवा की स्तुति करो की वह भला है
61,61,61,80,68,యెహోవా - నీవు నన్ను పరిశీలించి,Yehovaa neevu nannu parisheelinchi,கர்த்தாவே நீர் என்னை ஆராய்ந்திருக்கிறீர்,"यहोवा तू ने मुझ को, जाँच परख कर जान लिया है,"
62,62,62,85,40,యెహోవా అందరికిని మహోపకారుండు,Yehovaa andarikini mahopakaarundu,கர்த்தர் மிகுந்த இரக்கமும்,"यहोवा अनुग्रहकारी ... और दयालु भी है,"
63,63,63,84,41,ఓ నాదు యేసురాజా,Oh naadu yesu Raajaa,என் தேவனாகிய ராஜா உம்மையே நான் துதிப்பேன்,"हे ईश्वर मेरे राजा, मैं तुझ को सराहूँगा; (2)"
64,64,64,86,43,హల్లెలూయ నా ప్రాణమా,Halleluya naa pranamaa,அல்லேலூயா என் ஆத்துமாவே கர்த்தரைத் துதி,"हल्लेलूयाह, स्तुति करो हरदम ... यहोवा की  (2)"
65,65,65,87,44,దేవునికి స్తోత్రము గానము,Devuniki stotramu gaanamu,தேவனைத் துதிப்பதும்,"ईश्वर की स्तुति, तुम करो, स्तुति गाना है भला"
66,66,66,88,45,స్తుతియించుడాయన నాకాశవాసులారా,Stutiyinchu daayana naakasha vaasulaaraa,"துதியுங்கள் வானங்களில் உள்ளவைகளே,","स्तुति करो याह की स्वर्ग निवासियों,"
67,67,67,89,46,స్తుతించుడి యెహోవా దేవుని,Stutinchudi yehovaa devuni surya,வானங்களிலுள்ள சூரிய சந்திரரே,"याह की स्तुति, स्तुति ईश्वर की, सूर्य और चन्द्रमा,"
68,68,68,91,48,యెహోవాకు స్తుతులు పాడండి - మీరు,Yehovaaku stutulu paadandi - meeru samaja,அல்லேலூயா கர்த்தருக்குப்,"यहोवा की स्तुति सब गाएँ, गाएँ,"
69,69,69,0,49,యెహోవాకు క్రొత్త కీర్తన పాడుడి,Yehovaaku krotha keerthana,,"यहोवा के लिए एक नया गीत गाओ,"
70,70,70,93,50,దేవుని స్తుతియించుడి,Devuni stutiyinchudi,தேவனைத் துதியுங்கள் அல்லேலூயா,रब्ब की होवे सना हमेशा ...
71,71,71,92,51,హల్లెలూయ యేసు ప్రభున్,Halleluyaa yesu prabhun,அல்லேலூயா கர்த்தரையே ஏகமாய்த் துதியுங்கள்,"हल्लेलूयाह ! यीशु प्रभु,s1.तुम सब स्तुति करो ;"
72,72,72,90,47,స్తుతించుడి మీరు స్తుతించుడి,Stutinchudi meeru stutinchudi,துதியுங்கள் நீங்கள் துதியுங்கள் 2,"स्तुति करो तुम, स्तुति करो, (2)"
73,73,73,70,75,సీయోనుకు తిరిగి ప్రభువు,Siyonuku thirigi prabhuvu,சீயோனின் சிறையிருப்பைக் கர்த்தர் திருப்பும்போது,"सिय्योन की बन्धुवाई को, लौटा ले आया जब प्रभु ;"
74,74,74,,,యెహోవా నా స్తుతి కాదారుడా,Yehova na stuti kadaruda,,
75,75,75,,,నీ రెక్కల చాటున శరనొందెదన్,Ni rekkala catuna saranondedan,,
76,76,76,98,78,ఆద్యంతరహితుడవగు మా జ్యోతి,Adyantha rahithudavagu maajyothi,ஆதியும் அந்தமுமில்லாத ஜோதி,"आदि और अन्त है तू जग की ज्योति, चरणों में तेरे आते हम,"
77,77,77,0,121,స్తుతించుడి స్తుతించుడి,Stutinchudi stutinchudi aayana,,आओ उस के मन्दिर में यहोवा प्रभु की करो स्तुति ; (2)
78,78,78,100,176,ఆదియంతము లేనివాడా,Aadi yantamu leni vaadaa,ஆதியந்த மில்லோனே!,"आदि और अन्त रहित है, हे ईश्वर तू परिपूर्ण है,"
79,79,79,151,243,కల్వరిలోని శ్రేష్ఠుడా - కరుణా భరిత,Calvariloni shreshtudaa - karunaa bharitha,"கல்வாரியின் தங்கமே,","यीशु सूलीवाला है, सोने मुखड़ेवाला है,"
80,80,80,152,125,నా ప్రియ యేసు నీవే నా,Naa priya yesu neeve naa,எந்தன் பிரிய இயேசுவே என் சொந்த ராஜாவே,मसीह तू मेरा प्यारा है ... तू मेरे दिल का नूर ;
81,81,81,0,88,పరిశుద్ధ పరిశుద్ధ పరిశుద్ధ ప్రభువా,Parishudda parishudda parishudda prabhuvaa,,"पवित्र, पवित्र, पवित्र, प्रभु है,"
82,82,82,0,0,మంగళమే యేసునకు,Mangalame yesunaku - manujaavatharunaku,,
83,83,83,101,86,సుందర రక్షకుడా మాదు,Sundara rakshakudaa,சுந்தர இரட்சகனே—எங்கள்,सुनदर रक्षक मेरे ! प्रभु . . . अपने लोहू से मुझ को तू धे ले ;
84,84,84,102,96,స్తోత్రింతుము నిను మాదు,Stotrintumu ninu maadu thandri,தொழுகிறோம் எங்கள் பிதாவே,"भजने आए हैं पिताजी . . . आत्मा सच्चाई से तुझ को, (2)"
85,85,85,153,113,క్రీస్తు యేసు దయాళు ప్రభు,Kristu yesu dayaalu prabhu,கிறிஸ்து இயேசு தயாள பிரபு,"ख्रीष्ट यीशु, दयालु प्रभु ... तू ही है सृजनहार,"
86,86,86,103,151,యేసు పరిశుద్ధ నామమునకు,Yesu parishudda naamamunaku,இயேசு என்ற திரு நாமத்திற்கு,"प्रभु यीशु तेरे पावन नाम की,"
87,87,87,707,0,యేసు సమసిన సిల్వ చెంత,Yesu samasina silva chentha,மீட்பர் மரித்த குருசண்டை,
88,88,88,0,112,సంస్తుతింతుము నిన్నే,Sannutintumu ninne,,"अम सब स्तुति करेंगे ... आशीषें देता याह ही,"
89,89,89,104,174,యెహోవాను గానము చేసెదము,Yehovaanu gaanamu chesedamu,கர்த்தர் எந்தன் பெலனும் கீதமுமானவர்,"गीतें गएँ सामर्थ के ... तेरी स्तुति करें,"
90,90,90,0,282,ఆనందమానంద మాయెను,Aanada maananda mayenu,,"आनन्दित, अनादित हूँ मैं, मेरे प्रिय पुत्र मैं प्रसन्न मैं ... आहा"
91,91,91,105,101,సాగిలపడి మ్రొక్కెదము,Saagilapadi mrokkedamu,பணிந்து பாடிப் போற்றுவோம்,"आओ करें साष्टांग प्रणाम,"
92,92,92,0,79,యెహోవా మహోన్నతుడా,Yehovaa mohonnathudaa,,"यहोवा परमेश्वर महिमा तुम्हारी हो,"
93,93,93,0,123,ఆశించుము ప్రభు,Aashinchumu prabhu,,"प्रभुजी के चरणों में, आस लगाओ,"
94,94,94,0,124,ప్రియయేసు ప్రియయేసు,Priya yesu priya yesu,,"प्यारा मसीह, प्यारा मसीह, लाखों में प्यारा मेरा मसीह ;"
95,95,95,196,646,ఇదిగో నీ రాజు వచ్చుచుండె,Idigo nee raaju vachchu chunde,இதோ உன் ராஜா வருகிறார்,"देख तेरा राजा आता है,"
96,96,96,106,109,శరణం శరణం శరణం దేవా,Sharanam sharanam sharanam devaa,சரணம் சரணம் சரணம் தேவா கருணை நாயகா,"शरण, शरण, शरण प्रभु करुणामय तू है ;"
97,97,97,0,242,సాగిలపడి ఆరాధించెదము,Saagilapadi aaraadhinchedamu,,"साष्टांग प्रणाम करके भजें हम,"
98,98,98,0,221,యేసు తృప్తి పరచితివి,Yesu thrupti parachitivi,,"यीशु तू ने किया निहाल, 2"
99,99,99,107,95,పరమ పవిత్ర స్వర్గపిత,Parama pavitra swargapitha,"பரிசுத்தர், பரிசுத்தர், பரிசுத்தரே",परम पवित्र स्वर्गीय पिता ; (2)
100,100,100,130,147,యేసు మధుర నామము,Yesu madhura naamamu,இயேசுவே உந்தன் திருநாமத்தை,"गाओ, मधुर मधुर यीशु नाम  2"
101,101,101,108,0,సర్వోన్నతుండగు దేవుని,Sarvonnatha stalambulo,உன்னத மானவரான தேவனுக்கே மகிமை,
102,102,102,109,165,ప్రభుని స్మరించు ప్రభుని,Prabhuni smarinchu,தேவனைத் தியானஞ்செய்,"मेरो मन लागो, 2"
103,103,103,154,486,హర్షింతును - హర్షింతును,Harshintunu Harshintunu,மகிழுவேன் மகிழுவேன்,"आनन्द करूँ, आनन्द करूँ"
104,104,104,110,119,నా ప్రాణ ప్రియుడా యేసురాజా,Naa praana priyudaa,என் ஆத்ம நேசா இயேசு ராஜா,"हृदय का राजा जय यीशु नाम,"
105,105,105,155,94,దేవదేవుని కొనియాడెదము,Deva devuni koniyaadedamu,தேவாதி தேவனைத் துதித்திடுவோம்,परम पिता की हम स्तुति गाएँ ...
106,106,106,111,148,మధుర మధురము యేసు,Madhura madhuramu yesu,மதுரமுள்ள நாமம் —இயேசுவின்,"मधुर, मधुर, यीशु नाम प्यारा,"
107,107,107,0,91,పరిశుద్ధ ప్రభు యేసు,Parishuddha prabhu yesu,,"पवित्र प्रभु यीशु प्रणाम हो तुझे,"
108,108,108,112,118,జై జై జై జై రాజుల రాజా,Jai Jai Jai Jai raajula raajaa,"ஜேய், ஜேய், ஜேய், ஜேய் ராஜாதி ராஜா","जय, जय, जय, जय राजाधिराजा,"
109,109,109,113,97,యెహోవాకు పాడుడి పాటన్,Yehovaaku paadudi paatan,கர்த்தரைக்கீர்த்தனம் பண்ணும் அவர்,"यहोवा का भजन गाओ, गाओ,"
110,110,110,114,423,యేసునాథా త్రిలోకనాథా,Yesunaadha thriloka naadha,"தேவா தேவா திரிலோக நாதா,","यीशु, यीशु मन में आ जा (2), इस दुनिया का तू मुक्तिदाता (2)"
111,111,111,115,108,సర్వశక్తుడు నాకు,Sarvashakhtudu naaku,வல்ல கிறிஸ்து இயேசு எல்லாமானவர்,"सर्वशक्तिमान मेरा ... सब कुछ वही है,"
112,112,112,116,159,ప్రభో నీదు మహిమను పాడి,Prabho needu mahimanu paadi,தேவனே உமது மகிமையைப் பாடி,प्रभु तेरी स्तुति करूँ ... तेरी महिमा गाऊँ  (2)
113,113,113,156,134,ఓ యేసు నీ ప్రేమ ఎంతో,Oh yesu nee prema entho,"ஓ இயேசு உமதன்பு எத்தனை பெரியது,","हे यीशु तेरा प्रेम, कैसा महान है,"
114,114,114,157,135,ఓ ప్రేమగల యేసు,O premagala yesu,ஓ அன்புள்ள இயேசுவே நேசித்தீரே எங்களை,"ए प्रेमी यीशु तू ने, जो प्यार हम से किया,"
115,115,115,158,171,హల్లెలూయ పాడుడి,Halleluya paadudi,அல்லேலூயா பாடுவோம் அல்லேலூயா பாடுவோம் 2,"हल्लेलूयाह गायेंगे, हल्लेलूयाह गायेंगे, 2"
116,116,116,0,127,నేనే ఉన్నవాడననిన,Nene unnavaada nanina,,"तू ने कहा, अद्धैत ईश्वर,"
117,117,117,159,139,వందనమో వందన మేసయ్యా,Vandanamo vandana mesayyaa,வந்தனமே வந்தனம் ஏசையா,"वन्दन है, वन्दन है यीशु,"
118,118,118,160,142,అర్పింతు స్తుతుల్ నీ,Arpinthu stutul nee,சாற்றுவேன் துதி சிலுவையில் நீர்,चढ़ाता हूँ मैं धन्यवाद प्रभु ... क्रूस के उस प्रेम के लिए ;
119,119,119,161,223,సంతోషమే సంతోషమే,Santoshame santoshame,சந்தோஷம் சந்தோஷமே,"आनन्द है, आनन्द है, आनन्द से मैं स्तुति करूँ,"
120,120,120,0,150,రాత్రింబవళ్లు పాడెదను,Raatrimbavallu paadedanu,,"गाऊँगा मैं सुबह शाम,"
121,121,121,0,0,శాంతిదాయక యేసు ప్రభూ,Shanthi daayaka Yesu prabhoo,,
122,122,122,162,162,హృదయ మర్పించెదము ప్రభునకు,Hrudaya marpinchedamu,இருதயத்துடன் துதிப்போமே—நாமே,"हृदय भेंट चढ़ाए प्रभु को ... स्तुति प्रशंसा करें,"
123,123,123,163,224,ఆనంద మానంద మానందమే,Aananda maananada maanandame,ஆனந்த மானந்தம் ஆனந்தமே,"आनन्द, आनन्द, आनन्द है, आनन्द आनन्द है"
124,124,124,164,274,జై ప్రభు యేసు,Jai prabhu yesu,ஜேய் பிரபு இயேசு ஜேய் மாதேவா,"जय प्रभु यीशु जय मुक्तिदाता,"
125,125,125,117,82,ప్రభువా నీ గొప్పతనము,Prabhuva nee goppa thanamu,கர்த்தாவே உம் மகத்துவம் (2),"हे प्रभु तू महान है,"
126,126,126,118,140,వందనము నిమ్ము ప్రభు,Vandanimmu Nimmu Prabhu,வந்தனம் செய்யுங்கள் பிரபு இயேசுவுக்கு 2,"वन्दना करो, प्रभु यीशु की (2), जय जयकार करो  (2)"
127,127,127,165,164,ఓ నా హృదయమా పాడుమా,Oh naa hrudayamaa paadumaa,ஓ என் ஆத்துமாவே புதியகீதம்,"ओह ! मेरा मन गा रहा है ... गीत नया प्रभु का,"
128,128,128,166,196,దేవా నీ తలంపులు అమూల్యమైనవి,Devaa nee thalampulu amoolya,தேவா உம் ஆலோசனைகள்,"हे ईश्वर तेरे यह विचार, मेरे लिए क्या ही अनमोल है,"
129,129,129,167,133,స్తుతులకు పాత్రుండవు,Stutulaku paatrundavu,துதிக்கப்படத் தக்கவரே,"हे प्रभु तू धन्य है,"
130,130,130,168,1114,యేసు క్రీస్తు ప్రభువాయనే,Yesu kristu prabhuvaayane,கிறிஸ்து இயேசுவானவர்,
131,131,131,0,143,హల్లెలూయ స్తుతి ప్రశంస,Halleluya stuti prashamsa,,हल्लेलूयाह ! स्तुति प्रशंसा गाऊँगा
132,132,132,0,0,స్తోత్ర గీతములను పాడుచు,Stotra geetamulanu paaduchu,,
133,133,133,169,169,సర్వ కృపానిధియగు ప్రభువా,Sarva krupaa nidhi yagu,சகல கிருபை உள்ளவரே,"सभी अनुग्रह का प्रभु ... सब प्राणियों का आनन्द है,"
134,134,134,170,81,మహాఘనుడు మహోన్నతుడు,Mahaa ghanudu mahonnathudu,மகா கனமுள்ள உன்னதரும்—,"महान ईश्वर, अति उत्तम, पवित्र जो, सदा स्थिर है,"
135,135,135,232,166,హల్లెలూయా స్తుతి హల్లెలూయా,Halleluyaa stuti Halleluyaa,எந்தன் உள்ளம் புதுகவியாலே பொங்க,"नये गीत से मेरा हृदय उमडता, यीशु का भजन करूँ,"
136,136,136,119,102,కొనియాడి పాడి కీర్తించి,Koniyaadi - paadi keertinchi,"கொண்டாடி, பாடி கீதங்களால்","अपने प्रभु की बड़ाई करके,"
137,137,137,171,167,దేవా నాయందు నీకు,Devaa naa yandu neeku,கர்த்தாவே உம்மை என்றும் நேசிக்கிறேன்,यीशुजी करूँ तुझ से ऐसा अब प्रेम
138,138,138,0,0,ఆద్యంత రహిత ప్రభువా,Adyantha rahitha prabhuvaa,,
139,139,139,121,191,నృపా విమోచకా ప్రభూ,Nrupaa vimochaka prabhu,எத்தனை நாவால் பாடுவேன்,"जो लाखों जीभें मेरी हों ... तो सब नहीं होगी,"
140,140,140,122,188,శ్రీ రక్షకుని నామము,Sri rakshakuni namamu,எல்லாருக்கும் மா உன்னத,"यीशु के नाम को सब भजें, दूत भी प्रणाम करें ;"
141,141,141,172,190,రక్షకుని విచిత్ర ప్రేమన్,Rakshakuni vichitra preman,போற்றுவேன் என் மீட்பர் அன்பை!,"यीशु नाथ के प्रेम अपार का ... करूँगा मैं स्तुतिगान,"
142,142,142,0,0,యేసుని నామ శబ్దము,Yesuni naama shabdamu,,
143,143,143,0,0,కంటిని గొప్ప ముత్యము,Kontini goppa mutyamu,,
144,144,144,0,0,భక్తులారా దుఃఖక్రాంతుడు,Bhaktulara dhukka krantudu,,
145,145,145,0,0,రాజాధి రాజుపై కిరీటముంచుడి,Rajadi rajupai kireetamunchudi,,
